,neighbors,accuracy,auc,average_precision,recall,log_loss,train_time,test_time,predict_time
0,1.0,0.8610143244289585,0.86178893124425,0.8273343763814065,0.8251440703670003,4.800434918344163,0.190142,39.722392,39.738394
1,2.0,0.8288811459543167,0.8288705812034378,0.8131655918554607,0.6924268236022921,5.910249705193727,0.18155,50.112476,50.16133
2,3.0,0.8631823461091753,0.8637454770366431,0.8313690037060454,0.81427040269484,4.725548654028921,0.185529,55.477723,55.292986
3,4.0,0.8415795586527294,0.8422497898211667,0.8235160413996822,0.7298337438423645,5.471666216557448,0.181977,59.206288,59.167621
4,5.0,0.8530391018195896,0.8541030245085464,0.8221794562778442,0.8014571948998178,5.075886129308889,0.181758,62.342406,62.278423
5,6.0,0.8428958575300038,0.8423939154950005,0.8177083702474767,0.7394957983193278,5.426206826353967,0.183555,64.140515,64.189862
6,7.0,0.8519550909794812,0.8522636249175611,0.8147431685026746,0.8053846153846154,5.113330066326485,0.185321,66.861609,66.860998
7,8.0,0.8372435152922958,0.8377536683613424,0.8102886197429415,0.744956106576313,5.62143744502951,0.181416,68.711433,68.789718
8,9.0,0.8505613627564848,0.8501648198133921,0.8106356199952292,0.7962558502340094,5.161466309792804,0.185985,71.013488,71.045435
9,10.0,0.8333720480061944,0.8338656352907049,0.8020609437767849,0.7510775862068966,5.755158698139602,0.186511,72.392078,72.485574
