,neighbors,accuracy,auc,average_precision,recall,log_loss,train_time,test_time,predict_time
0,1.0,0.9251258226867983,0.9251148329014555,0.8990615228959223,0.9093444909344491,2.5860861184744075,3.804808,1214.322329,1214.478159
1,2.0,0.9122725512969415,0.9122232452613218,0.9039714349187098,0.8414690841469085,3.0300055448045784,3.798953,1259.889945,1259.462979
2,3.0,0.9332559039876113,0.9332348280495738,0.9163130471067069,0.9029908569657523,2.305274019156527,3.798553,1277.462544,1277.498977
3,4.0,0.9223383662408052,0.9222966191795225,0.9136864927018313,0.8623895862389587,2.6823449227874483,3.80029,1287.432375,1288.050502
4,5.0,0.9344947735191638,0.9344684103224213,0.9213759640846005,0.8966372229970556,2.2624814524223344,3.802824,1294.658996,1294.599578
5,6.0,0.9239643825009679,0.9239250643284396,0.9144613951911909,0.8675034867503487,2.6261850537108735,3.803139,1299.972676,1300.02574
6,7.0,0.932481610530391,0.932452656383613,0.9201185012586923,0.8909034557570122,2.3320129577027022,3.891725,1304.732464,1304.386967
7,8.0,0.9222609368950833,0.9222218337263617,0.9118425763425483,0.8661087866108786,2.6850207854533923,3.892745,1308.019926,1307.991412
8,9.0,0.9310104529616725,0.9309807966496118,0.918441325402495,0.8884239888423989,2.38282512574727,3.801053,1311.191576,1311.796763
9,10.0,0.921564072783585,0.9215245915721434,0.9110755697649752,0.864869053153572,2.7090896810903744,3.902737,1314.045759,1314.249404
