global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.944561,0.510337,0.983419,0.98455,20.7462,0.162243,0.510337,0.493887,1.01487
00020000,0.957104,0.510337,0.987998,0.988421,16.598,0.129802,0.510337,0.502971,1.01021
00030000,0.965931,0.510337,0.991574,0.991663,13.9422,0.109033,0.510337,0.488095,1.00742
00040000,0.969648,0.510337,0.992092,0.992523,12.9671,0.101407,0.510337,0.499482,1.0158
00050000,0.974139,0.510337,0.99212,0.992875,12.0831,0.0944944,0.510337,0.499162,1.01736
00060000,0.970654,0.510337,0.992095,0.992885,13.4879,0.10548,0.510337,0.492426,1.01568
00070000,0.974758,0.510337,0.992995,0.993415,12.2136,0.0955148,0.510337,0.496452,1.01772
00080000,0.976307,0.510337,0.992628,0.993574,12.5373,0.098046,0.510337,0.500328,1.00231
00090000,0.977081,0.510337,0.992581,0.993349,12.4984,0.0977423,0.510337,0.504796,1.00684
00100000,0.978552,0.510337,0.993487,0.994017,11.6209,0.0908794,0.510337,0.503206,1.04431
00110000,0.975145,0.510337,0.992152,0.993331,14.1113,0.110355,0.510337,0.499685,1.00591
00120000,0.975842,0.510337,0.99198,0.993465,14.6051,0.114217,0.510337,0.494709,1.01395
00130000,0.978087,0.510337,0.99238,0.993782,14.4483,0.112991,0.510337,0.502794,1.01302
00140000,0.979017,0.510337,0.992999,0.993865,14.8382,0.11604,0.510337,0.507165,1.02226
00150000,0.979326,0.510337,0.992647,0.993762,14.802,0.115757,0.510337,0.502471,1.01436
00160000,0.979636,0.510337,0.992743,0.993858,14.56,0.113865,0.510337,0.501397,1.0113
00170000,0.978784,0.510337,0.991832,0.993293,16.2588,0.12715,0.510337,0.499431,1.01665
00180000,0.980256,0.510337,0.99278,0.993788,16.3048,0.127509,0.510337,0.505559,1.02806
00190000,0.977933,0.510337,0.991442,0.993151,18.33,0.143347,0.510337,0.501072,1.03381
00200000,0.98072,0.510337,0.992743,0.9937,16.8343,0.131651,0.510337,0.50848,1.01376
00210000,0.979404,0.510337,0.992545,0.993747,16.2567,0.127133,0.510337,0.50136,1.02584
00220000,0.98041,0.510337,0.993297,0.994006,17.7749,0.139006,0.510337,0.504588,1.01826
00230000,0.97832,0.510337,0.992578,0.99375,20.4462,0.159897,0.510337,0.499305,1.02412
00240000,0.98041,0.510337,0.992372,0.993711,21.0921,0.164948,0.510337,0.504728,1.00986
00250000,0.980023,0.510337,0.992303,0.993369,23.1366,0.180937,0.510337,0.505115,0.990501
00260000,0.98072,0.510337,0.992851,0.993752,23.4973,0.183758,0.510337,0.510001,0.974003
00270000,0.980952,0.510337,0.992658,0.993699,25.1498,0.196681,0.510337,0.505905,0.972737
00280000,0.980333,0.510337,0.992207,0.993601,29.3995,0.229915,0.510337,0.505255,1.01739
00290000,0.979481,0.510337,0.992919,0.994062,24.532,0.191849,0.510337,0.502688,0.959515
00300000,0.979868,0.510337,0.992255,0.993668,29.2435,0.228695,0.510337,0.503316,0.987581
