,neighbors,accuracy,auc,average_precision,recall,log_loss,train_time,test_time,predict_time
0,1.0,0.9383662408052652,0.9384067544965956,0.9145121717733181,0.9358035986581275,2.1287778443194143,3.415916,1125.2987,1125.286385
1,2.0,0.9306233062330623,0.9309319447456902,0.9197310155390247,0.8871290173765954,2.396196142828004,3.416169,1147.616162,1147.766404
2,3.0,0.9464963221060783,0.946482160932145,0.9282516475943812,0.9324135792900325,1.8479673547214859,3.459116,1151.704322,1151.929833
3,4.0,0.9353464963221061,0.9351779498421579,0.9235141671562439,0.8941066708132483,2.233062441173417,3.467474,1154.959955,1155.247293
4,5.0,0.9454123112659698,0.9452935721537892,0.9285489292456621,0.9253777847016669,1.8854059672807792,3.421282,1158.519225,1158.825139
5,6.0,0.9419279907084785,0.9412342191225355,0.9292664865104343,0.9040555467887013,2.005744935270469,3.433277,1160.961477,1161.039193
6,7.0,0.9466511807975223,0.9466418501029994,0.9328764025037332,0.9225406661502711,1.842614638792704,3.454448,1163.973422,1164.112006
7,8.0,0.9388308168795974,0.939478595674755,0.9294055804478716,0.9038783269961977,2.1127185201992584,3.437574,1154.630835,1152.083361
8,9.0,0.9463414634146341,0.9461307054534026,0.9307466811448274,0.9232572678962175,1.8533127030858698,3.420388,1166.554058,1166.911779
9,10.0,0.9437088656600852,0.943835337988773,0.9322216232540151,0.9130166563849476,1.9442369936880524,3.41945,1168.511327,1168.534378
